RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
84493,60442,Illinois,5539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201600,194700,186700,183700,205800,206500,212200,1.96E+05,199200,231600,225800,239800,220900,240800,209100,198700,1.87E+05,185800,198100,2.08E+05,231300,232100,236400,229700,225100,2.21E+05,199900,217700,212800,244500,227400,221100,220700,212300,216800,219500,230400,200100,177900,170100,2.08E+05,225700,217900,236100,244400,248300,241700,230900,233500,197300,1.98E+05
62251,11777,New York,5540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464400,451600,488900,473900,472800,4.43E+05,425600,434600,430800,418700,406700,405100,420100,427700,424100,443500,437100,427900,419900,415400,4.24E+05,420400,466900,483100,494100,468800,439300,438300,435500,444300,424900,427400,491100,529600,524400,476200,442500,4.55E+05,442500,4.81E+05,496100,523600,
78938,48062,Michigan,5541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163400,174300,171200,136700,1.40E+05,144800,155800,156700,154200,170800,170200,1.51E+05,150400,148800,166800,165800,167100,175800,179100,182300,177200,182100,182900,187400,1.80E+05,181600,179900,190700,190800,191500,178200,1.73E+05,209300,215100,212200,182100,198400,2.01E+05,1.94E+05,170800,2.05E+05,209300,203700,1.84E+05,179800,
99886,98580,Washington,5542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254800,254500,257800,249200,246800,255800,244400,252200,249300,257900,259800,266600,254700,257100,248800,2.95E+05,335500,330200,293900,259600,2.67E+05,258600,274500,2.79E+05,270500,261300,257800,270700,247400,245300,2.65E+05,246600,259700,262700,296300,309200,314600,323200,325700,304100,329200,338600,344400,318300,303700,306900,312700,3.07E+05,333100,332600,361900,381900,423400,389300,400300,361400,394200,347300,356600,357100,384100,381700,380800,382800,409600,389200,368400,350400
67048,21793,Maryland,5543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251300,261100,221300,218100,216600,240400,238700,253900,258200,276200,258700,250200,233200,235500,242800,228300,226400,226900,245200,245900,286200,287600,295700,256500,249100,242100,246900,255500,236600,229100,229200,2.51E+05,307300,301300,316500,264400,265600,250100,242800,244600,249300,255500,2.53E+05,245700,268600,3.04E+05,309400,295400,268200,273300,259800,253900,265800,2.87E+05,280200,260900,3.14E+05,
73335,35127,Alabama,5544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96500,98400,97900,91800,92200,89500,1.00E+05,91300,92900,74100,7.60E+04,78100,91100,94500,1.00E+05,92600,98900,97700,1.07E+05,1.05E+05,102600,96200,103300,91400,90900,88600,99200,112600,112200,118800,105800,104800,108700,112600,113500,119300,126700,125200,118200,123300,121200,117400,111900,128900,127400,133200,118700,145800,138200,141300,1.34E+05,142500,1.55E+05,146800,1.43E+05,146500,135700,1.34E+05,
99416,97759,Oregon,5545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290200,299300,299900,271200,274200,2.75E+05,328400,326100,332600,324600,323200,318800,289100,2.96E+05,306700,330800,325100,324200,332600,336300,345400,383100,380700,359800,322300,321400,327900,343400,358800,3.73E+05,362500,352200,368400,380200,411200,405800,412200,395500,384900,343500,347100,350400,420900,416200,404700,398800,414400,430900,412100,385200,411300,388200,438300,425900,451200,433500,437700,
93374,80421,Colorado,5546,,,,,,,,,,,168400,187500,200900,200600,172600,157800,155200,165100,169800,193300,196500,180400,168100,173400,195600,201200,190400,1.93E+05,187400,205300,187700,194500,195500,203300,196900,186200,182500,197700,204700,207700,174300,154800,166700,207700,198600,184900,1.77E+05,188900,199200,182900,208200,213600,211200,227600,216100,234400,194900,200500,186500,210100,195400,202300,197100,207200,209800,209600,214200,227500,226900,232400,224300,229500,231100,231600,230500,231500,235500,237800,238700,237300,240900,241400,240600,239300,240300,257700,279900,289900,282200,258600,2.61E+05,275800,297500,302400,307600,312700,321800,3.15E+05,312100,308500,301900,305600,308100,318300,313600,321900,345400,350700,344800,323400,313800,321600,329400,342700,352300,348500,356800,345800,356900,372200,387500,405700,384500,389300,370900,392600,386200,387900,382800,376600,382500,
399732,86315,Arizona,5547,258400,274200,261800,251100,232900,229100,2.41E+05,243200,225900,2.25E+05,234700,2.40E+05,233200,214800,220800,210800,199500,194300,193900,210500,196300,199400,239400,240600,239400,188800,196400,195800,185700,184100,167600,173600,177800,1.82E+05,179300,1.63E+05,166100,164100,176100,185200,184800,172200,169400,174100,188100,180100,182300,1.80E+05,186900,176300,184500,192300,195800,184100,176500,189100,190700,193600,187300,194500,192400,208300,216200,225100,224100,228600,231300,219700,2.07E+05,208700,228500,2.43E+05,281100,269400,259800,217600,227400,236800,250300,252100,252900,241800,232400,218800,224400,228400,239100,235700,242400,239700,241100,240900,246200,2.43E+05,257700,264900,279800,264800,262300,265900,2.71E+05,268200,266400,266800,270900,281500,292600,290500,288500,293600,297800,304800,292800,2.95E+05,287800,307400,321900,335300,322200,313400,322500,356100,367200,360200,332600,343900,332700,337400,324200,346300,363100,380300
79676,49306,Michigan,5548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200800,209600,215200,213400,200300,2.19E+05,215600,225900,214900,222200,245700,274400,271400,270300,243200,256800,2.75E+05,270500,271600,241100,246900,242600,232200,2.26E+05,209700,259600,266200,270600,241300,257600,278200,269100,258300,272100,269700,272400,248100,290700,291700,
