"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-02-28,26938,"Sammamish","WA","Seattle-Tacoma-Bellevue","King County",824,913900,-0.00229257641921397,0.000437876299945265,-0.00598216227974766,0.0891842210801546,0.0511968507918874,"2018-06","2018-Q2",928500,-0.0157242864835757,"2018-02"
2019-02-28,17317,"Carrollton","GA","Atlanta-Sandy Springs-Roswell","Carroll County",825,146100,0.00550584996558844,0.0252631578947368,0.0919282511210762,0.0929042756538909,0.0299167754401708,"2019-02","2019-Q1",146100,0,"2019-02"
2019-02-28,19321,"Meriden","CT","New Haven-Milford","New Haven County",826,168400,0.00777977259126272,0.0193704600484262,0.0544771446462116,0.0165905256315191,-0.00707975423731422,"2007-03","2007-Q1",208800,-0.193486590038314,"2004-07"
2019-02-28,4281,"Cupertino","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",827,2210000,-0.0136130328051774,-0.032611074633399,-0.0137010755567457,0.0886464336920914,0.0785087581101902,"2018-07","2018-Q3",2332200,-0.052396878483835,"2018-02"
2019-02-28,17310,"Carmichael","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",828,412600,-0.0019351717464925,0.000484966052376334,0.0377263581488934,0.0566076865686669,0.0373285215013126,"2005-11","2005-Q4",435800,-0.0532354290959156,"2005-03"
2019-02-28,13444,"Rapid City","SD","Rapid City","Pennington County",829,202200,0.00198216055500496,0.017102615694165,0.0417310664605873,0.0359106303269754,0.0233013828852782,"2019-02","2019-Q1",202200,0,"2019-02"
2019-02-28,17188,"Brookline","MA","Boston-Cambridge-Newton","Norfolk County",830,934200,0.0025756600128783,0.00754961173425367,0.0334070796460177,0.0776042298793143,0.0566752817357945,"2019-02","2019-Q1",934200,0,"2019-02"
2019-02-28,51441,"Clayton","NC","Raleigh","Johnston County",831,210800,0.00285442435775452,0.011031175059952,0.076059213884635,0.0499584491161187,0.023197944986133,"2019-02","2019-Q1",210800,0,"2019-02"
2019-02-28,24544,"Edmonds","WA","Seattle-Tacoma-Bellevue","Snohomish County",832,622500,0.00257690449347721,0.0113728675873274,0.0442878711625566,0.110134329025149,0.0511501475214811,"2019-02","2019-Q1",622500,0,"2019-02"
2019-02-28,34103,"Springfield","OH","Springfield","Clark County",833,64600,0.0031055900621118,0.0125391849529781,0.104273504273504,0.000620347871851168,-0.00785411780510492,"2006-12","2006-Q4",75300,-0.142098273572377,"2000-07"
