GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1600000US4131250,4131250,"Gresham city, Oregon",84795,4954,41662,3429,1975,753,2789,819,2329,865,1720,684,1677,621,2389,721,3568,1059,2946,1086,5722,1167,5445,974,5692,1085,3536,799,1542,551,332,258,43133,2708,1314,709,2322,808,2222,758,1542,604,940,479,2964,902,1813,741,3414,1093,6140,951,5443,1048,6697,1086,4241,925,2630,622,1451,533
1600000US4134100,4134100,"Hillsboro city, Oregon",76436,5600,38569,3139,1999,794,2406,902,3622,928,1099,432,751,461,2064,836,2645,912,3630,924,6427,1450,5697,1061,4162,940,2602,671,1214,614,251,205,37867,3100,2447,894,2818,1047,2218,765,1582,722,401,349,1663,719,3837,999,3130,1045,5547,1066,4305,936,5252,1083,2343,556,1553,487,771,368
1600000US4147000,4147000,"Medford city, Oregon",73369,1934,35359,1576,2371,695,1753,615,2542,784,1297,659,796,366,2619,739,2519,619,2366,745,4052,806,4526,985,3967,825,3982,844,1778,725,791,403,38010,1894,2356,664,1523,579,3084,852,1409,580,1186,629,2645,702,2115,555,2601,766,4615,879,3138,800,5312,1043,4168,862,2176,619,1682,615
1600000US4159000,4159000,"Portland city, Oregon",500694,6123,251582,4013,13173,1148,12573,1501,11321,1457,6416,777,3631,667,12756,1223,23826,1177,26432,1106,45905,1517,35929,1284,29091,1272,20450,1074,7510,849,2569,808,249112,3364,12553,964,11245,1367,10622,1218,5988,843,4532,557,12597,1208,25816,1001,24882,1137,42950,1286,31107,1304,29051,1305,23031,1050,8593,1024,6145,961
1600000US4164900,4164900,"Salem city, Oregon",136140,5178,69340,3631,3766,944,4537,1160,5037,975,2537,812,2081,608,4116,1007,3885,828,6463,1165,9540,1435,9865,1254,6963,1247,6247,1023,2821,675,1482,641,66800,3325,4239,1019,3767,1042,4053,1022,1519,593,1593,610,3989,1309,5012,1161,4109,903,9481,1101,7697,1217,8082,1091,7038,1085,4217,895,2004,668
1600000US4202000,4202000,"Allentown city, Pennsylvania",77546,4592,36816,2771,3424,939,2165,637,2117,863,1444,606,1572,629,2667,770,2858,941,2684,799,4572,1033,3616,1138,5040,1015,2248,672,1605,560,804,345,40730,2883,2449,772,1834,912,2495,898,1461,531,2066,522,3500,751,3262,841,3713,847,4305,914,4098,921,3986,720,3597,724,2287,563,1677,599
1600000US4206088,4206088,"Bethlehem city, Pennsylvania",57747,4414,26366,2570,1242,822,945,455,1355,758,565,290,1711,436,2482,841,2086,744,1885,601,3090,863,3782,836,3294,900,2266,656,1105,408,558,308,31381,2679,1765,854,1324,681,1101,526,1185,499,1232,481,3638,1226,2660,742,2573,657,2678,727,3157,761,4570,1070,2678,745,1756,474,1064,373
1600000US4224000,4224000,"Erie city, Pennsylvania",71712,2532,35618,1954,1970,718,1535,695,1492,613,868,391,1418,429,3050,837,3563,664,2637,633,3973,864,4509,805,5034,848,3680,925,854,347,1035,474,36094,2125,2325,693,1677,700,1782,583,696,379,976,491,2663,525,2363,655,2631,681,4246,822,4413,1001,5307,887,3289,748,1596,523,2130,668
1600000US4260000,4260000,"Philadelphia city, Pennsylvania",665060,9772,321883,5719,18899,2002,16312,2264,14399,1890,8726,894,9218,666,19976,1344,36088,1350,34883,1456,42887,1397,36775,1259,39176,862,26234,517,12707,1139,5603,1097,343177,5446,18216,1716,14868,2085,14655,2006,7340,733,9336,658,23137,1047,38630,1101,32796,1179,43921,1505,37188,1082,41145,991,32001,747,19252,1515,10692,1555
1600000US4261000,4261000,"Pittsburgh city, Pennsylvania",202557,5172,101308,3581,3528,880,2384,759,2667,768,1768,470,4657,864,11763,1702,14355,1432,10820,1207,10883,1303,10951,1512,13014,1224,9096,1131,3869,747,1553,578,101249,3540,3267,881,2405,753,2916,803,1730,543,5822,1232,11977,1421,12910,1515,9013,1080,9115,1119,9651,1332,12029,1257,9960,1227,6197,895,4257,927
